career_objective,skills,educational_institution_name,degree_names,major_field_of_studies,professional_company_names,start_dates,end_dates,candidate_experience_years,positions,responsibilities,certification_skills,job_position_name,educationaL_requirements,experiencere_requirement,required_experience_years,skills_required,age_requirement,skills_required_data_available,skill_match,required_skill_coverage,experience_fit,education_match,certification_match,project_relevance,semantic_similarity,matched_score
,c/c++; css; html; java; portuguese fluent; python,"['University of Denver, Denver, CO']",Bachelor of Science,Computer Science,"['Google', 'Gusto']",June 2018; June 2016,August 2018; October 2016,0.5,Software Engineer Intern; Software Engineer Intern,"Machinery Maintenance
Troubleshooting
Report Preparation
Log Maintenance",,Mechanical Engineer,"Bachelor of Science (BSc) in Mechanical Engineering, Diploma in Mechanical",2 to 5 years,2.0,maintenance and troubleshooting; mechanical,Age 25 to 40 years,True,0.0,0.0,0.5,0.9,0.0,0.2727,0.1139,0.2293
,account management; analyzing market trends; brand development; established track record of exceptional sales results; excellent negotiating tactics; salesforce lead management; skilled multitasker; strong interpersonal skills,['Miami Dade College'],Marketing Management Real Estate,Marketing Management Real Estate,"['Company Name', 'Company Name', 'Company Name', 'Company Name']",January 2017; November 2015; October 2012; December 2011,Current; January 2017; October 2015; July 2012,11.75,Business Development Executive; Solutions Analyst; Product Marketing Specialist; Project Coordinator/ Sales,"Mikrotik Router Configuration
OLT Device Setup & Management
Integration with Billing Software
Network Monitoring Tools Integration
Connectivity Troubleshooting
Technical Support & Escalation
Installation & Configuration
GPON/EPON Expertise
Cisco, OLT, MikroTik Knowledge",,Network Support Engineer,"Diploma, Bachelor/Honors",At least 3 years,3.0,ccna cisco certified network associate; gpon; hardware networking; iig; isp; it enabled services; olt and onu,Age 25 to 35 years,True,0.0,0.0,1.0,0.2,0.0,0.1042,0.147,0.1926
,business analysis; business analytics; data analysis; data analytics; data science; machine learning,"['RCC IT, Kolkata', 'Praxis School of Business, Kolkata']",B.Tech; MBa,Computer Science,['IRRM International'],Feb 2020,Oct 2020,0.67,Junior Analyst Expert,"Mushak Forms Maintenance
VAT Software & MS Office Maintenance
VAT Ledger Management
VAT Challan Coordination
Liaison with VAT Office
VAT Documentation
Other Assigned Tasks",python,Executive - VAT,BBA in Accounting and Finance,1 to 3 years,1.0,vat and tax,,True,0.0,0.0,0.7631,0.9,0.0,0.0455,0.5295,0.2782
,3ds max; adobe dreamweaver; adobe photoshop; c++; creative thinker; detailoriented; excellent time management skills; html; java; linux; mac os; matlab; microsoft office; perl; php; scheme; selfmotivated; sql; windows 95 98 2000 xp vista,"['Nova Southeastern University, Davie FL']",B.S. in Computer Science,Computer Science,"['ABC Research', 'Library Application Services, NSU', 'Computer Science Departments, NSU', 'YMCA']",May 2008; May 2007; Sept 2007; Jan 2005,Sept 2008; Present; May 2008; August 2007,20.25,Collaborative User Experience Group Intern; Student Web Developer; Teaching Assistant; Computer teacher,"Design Review
Coordination
Proposal Preparation
Feasibility Analysis
Software Utilization
Supervision
Technical Support
Submission Review
Progress Reporting
Compliance
Site Visits",,Civil Engineer,B.Sc in Civil Engineering from a reputed university.,At least 5 years,5.0,autocad; etabs; microsoft office suite; ms project,Age at least 30 years,True,0.2857,0.25,1.0,0.2,0.0,0.0,0.0299,0.3172
,c++; change management; data structures; defect management; embedded software development; embedded systems; git; machine learning; project management; python; unit testing,"['Jawaharlal Nehru Technological University (JNTU)', 'Manipal University']",B.Tech; M.Tech,Telecommunication; Electrical,['BOSE'],Jan 2019,Aug 2019,0.58,Product Engineer Intern,"Internal Audit Assistance
Voucher & Bill Verification
Cost Sheet Analysis
L/C Voucher Verification
Expense Verification
Salary & Wages Verification
Market Rate Verification",,Sr.Officer / Executive - Internal Audit,"Master of Commerce (MCom) in Accounting, Must have CACC certification from any CA firm",2 to 4 years,2.0,having cacc from reputed ca firm; internal audit and compliance,,True,0.0,0.0,0.52,1.0,0.0,0.0769,0.0624,0.235
,2000; api; approach; atl; audio; backup; broadcast; c#; c++; ca; cli; clients; com; concept; content; documentation; drawing; dynamic html5; editing; explorer; ftp; functional; gui; hardware; http; ids; innovation; ip; javascript; json; lan; mb; mfc; migration; nas; object oriented programming; office; page; proxy; rendering; san; scrum; servers; specification; team management; threads; troubleshoot; video; video editing; visual c++; win; windows; workflow; writer; xml,"['Illinois Institute of Technology', 'National Institute of Technology']",M.S; B.E,Computer Science; Electronics and Communication Engineering,"['Company Name', 'Company Name', 'Company Name', 'Company Name']",September 2009; November 2005; August 1997; August 1994,Current; August 2009; October 2005; July 1997,29.16,Software Engineering Manager; Software Engineering Manager; Principal Software Engineer; Software Engineer,"Recruitment Coordination
Appointment Management
Selection Criteria
Employee Orientation
Performance Evaluation
HR Database Management
Report Compilation
Documentation
Event Coordination
Task Execution",,"Manager- Human Resource Management (HRM)
","Masters degree in any discipline, Bachelor of Business Administration (BBA)",5 to 6 years,5.0,hrm report; human resource management; ngo,Age 25 to 40 years,True,0.1667,0.3333,1.0,1.0,0.0,0.1154,0.0552,0.4252
,access; adobe; advanced presentation; advanced problem solving abilities; basic financial and operational reporting; budgeting; business analysis; crossfunctional team leadership; customer relations; developing other business analyst; document reports; fast learner; microsoft project; negotiation; oracle; organization; project coordinator; public speaking; python; quality assurance; quality control; research; sap; spss; sql; strong requirement tracing; superb communication skills,['University of Miami'],Bachelor of Arts,Economics and Pre-Law,"['Company Name', 'Company Name', 'Company Name']",July 2016; November 2014; May 2014,October 2017; September 2015; November 2014,2.59,Business Development Analyst; Documentation Analyst; Data Analyst (Intern),"Database Design & Development
SQL Query Optimization
Data Integrity & Security
BI Solutions Development
ETL Process Implementation
Database Maintenance
Backup & Restore Management
Index Rebuilding & Performance Tuning
SQL Server Clustering & High Availability
SQL Server Replication
High Availability Group Management
Database Monitoring & Troubleshooting",,Database Administrator (DBA),Bachelor of Science (BSc) in Computer Science,At least 1 year,1.0,asp.net mvc strong understanding of database design; database administrator dba; database management; elasticsearch; mongodb; mysql database; nosql database; redis,Age 25 to 40 years,True,0.0667,0.125,0.9565,1.0,0.0,0.0667,0.1533,0.3495
"Young Aspirant looking for roles in data science, analytics and Machine Learning.",business analysis; logistic regression; machine learning; numpy; pandas; python; sql,"['SPSC COLLEGE, GURGAON']",B.TECH,MECHANICAL,['VW TECHNOLOGY'],JAN 2018,NOV 2020,2.83,DESIGN ENGINEER,"Machinery Maintenance
Troubleshooting
Report Preparation
Log Maintenance",,Mechanical Engineer,"Bachelor of Science (BSc) in Mechanical Engineering, Diploma in Mechanical",2 to 5 years,2.0,maintenance and troubleshooting; mechanical,Age 25 to 40 years,True,0.0,0.0,0.9113,0.9,0.0,0.3,0.1022,0.2918
,accounting; accounting software; accounts payable; accounts payables; accounts receivables; accrual; administrative; administrative support; balance; balance sheet; bank reconciliation; book; bookkeeping; c; cash management; clients; closing; computer peripherals; credit; data entry; driving license; email; english; erp; finance; financial; financials; fixed assets; funds; general ledger; hindi; insurance; internet applications; invoicing; languages; law; legal; letters; managing; microsoft excel; microsoft powerpoint; mis; ms office applications; myob; negotiating; office; outlook; payroll; policies; purchasing; quickbooks; sales; sales analysis; secretarial; sound; strategy; supervision; trial balance; typing speed; word; xpert,"['University of Kerala', 'Mahatma Gandhi University']",M.Com (Master of Commerce); B.Com (Bachelor of Commerce),,"['Company Name', 'Company Name', 'Company Name', 'Company Name']",October 2012; April 2011; July 2008; August 2005,October 2014; October 2012; April 2011; July 2008,9.17,Accountant; Accountant - Payables / Accounting Clerk; Junior Accountant; Accountant cum Secretary,"Mushak Forms Maintenance
VAT Software & MS Office Maintenance
VAT Ledger Management
VAT Challan Coordination
Liaison with VAT Office
VAT Documentation
Other Assigned Tasks",,Executive - VAT,BBA in Accounting and Finance,1 to 3 years,1.0,vat and tax,,True,0.0,0.0,0.9999,0.9,0.0,0.0385,0.3258,0.3032
,account management; accounting; big data; budgeting; business administration; business analysis; business consulting; business development; business process improvement; business solutions; business systems; business systems analysis; client relations development; costbenefit analysis; customer relationship management; database; direct marketing; director; enterprise; finance; forecasting and planning; functional requirements; information technology; integrated reporting information system iris; law; leadership; market evaluation; marketing; messaging; network; organizational; performance management; performance reviews; policies; portfolio management; processes; professor; project management; proposal writing; proposals; quality; recruitment; relationship building; requirement tracing; requirements gathering; risk management; sales; scheme; scope and project definition; selling; speaking; strategic plans; supply chain management; tables; technology architecture analysis; underwriting,"['UNIVERSITY OF PHOENIX', 'TIFFIN UNIVERSITY', 'MYERS UNIVERSITY']",Master of Science; Master of Science; Bachelor of Science,Information Systems-Graduate Business Analytic Certificate; Criminal Justice; Public Administration,"['Company Name', 'Company Name', 'Company Name', 'Company Name']",January 2006; January 1998; January 1996; January 1990,June 2016; January 2005; January 1998; January 1996,25.42,Business Development Analyst; Business Enterprise Risk Manager; Business Client Relationship Manager; Project Manager,"Machinery Maintenance
Troubleshooting
Report Preparation
Log Maintenance",,Mechanical Engineer,"Bachelor of Science (BSc) in Mechanical Engineering, Diploma in Mechanical",2 to 5 years,2.0,maintenance and troubleshooting; mechanical,Age 25 to 40 years,True,0.0,0.0,1.0,1.0,0.0,0.1111,0.0261,0.3069
"Energetic, innovative engineering undergraduate, passionate about Machine Learning, NLP and Deep Learning for solving real-world problems, aiming to work in an organization providing great learning experience and growth opportunities for mutual benefit.",c; c++; code blocks; css; data structures; google colab; html; java; javascript; jupyter notebook; keras; matlab; ms office; numpy; opencv; pycharm; pytesseract; python; scikitlearn; sql; tensorflow; turbo c++,"['Dayalbagh Educational Institute, Dayalbagh, Agra', ""St. Clare's Senior Secondary School, Agra"", ""St. Clare's Senior Secondary School, Agra""]",B.Tech. (Electrical Engineering Specialization in Computer Science); XII; X,Electrical Engineering Specialized in Computer Science,"['Genisup India Pvt. Ltd.', 'VUGS Technologies']",July 2021; May 2021,Aug 2021; June 2021,0.17,Intern; Intern,"Project Design
Data Analysis
ACCORD/Alliance Knowledge
BNBC Standards
Cost Estimation
Feasibility Studies
Documentation
Compliance
Site Monitoring
Policy Enforcement
Legal Compliance
Data Management
Team Collaboration",computer vision; data science; deep learning; gans; machine learning; neural networks; opencv; python; r; ssd,Project Coordinator (Civil),•Bachelor of Business Administration (BBA) in Human Resource Management,5 to 10 years,5.0,auto cad 2d 3d; civil 3d; civil construction; civil engineering,Age 30 to 40 years,True,0.0,0.0,0.0346,1.0,0.0,0.0333,0.016,0.1577
,access; assembly; atm; ca; cadence; calibration; dc; debugging; ethernet; graphic; hardware; iso 9000; labview; layout; linux os; logic; mentor; ms office; multimeters; network; networking; orcad; oscilloscopes; power supplies; procurement; purchasing; quality assurance; routers; schematics; signal generators; sonet; switches; t1; test equipment; trouble shooting; troubleshooting; validation; view; windows,['Solano College'],Associate Degree,Electronics Engineering Technology,"['Company Name', 'Company Name', 'Company Name']",August 2007; January 2002; April 1995,October 2014; June 2007; November 2001,19.17,Electrical Engineering Lab Technician; Electrical Engineering Lab Technician; Electrical Engineering Technician and PCB Layout Designer,"Machine Learning Design
Data Analysis
Model Training
AI Integration
Innovation
Cross-Functional Collaboration
Model Deployment
Documentation
Analytical Skills
Communication
Team Collaboration",,AI Engineer,"Bachelors or Masters degree in Computer Science, Engineering, or a related field.",,1.0,python; pytorch; r or java; scikitlearn.; tensorflow,,True,0.0,0.0,1.0,0.5,0.0,0.0,0.0367,0.2268
,careful and active listener; fluent in spanish; hungry for growth and continuous learning; proactive and energetic; selfstarter selfmotivated,"['University of California, Santa Cruz']",Bachelors of Arts,Sociology,"['Company Name', 'Company Name', 'Company Name']",09/2015; 03/2013; 07/2010,Current; 09/2015; 12/2012,0.0,Business Development Manager; Business Development Manager; Talent Acquisition Consultant / Account Executive,"Mushak Forms Maintenance
VAT Software & MS Office Maintenance
VAT Ledger Management
VAT Challan Coordination
Liaison with VAT Office
VAT Documentation
Other Assigned Tasks",,Executive - VAT,BBA in Accounting and Finance,1 to 3 years,1.0,vat and tax,,True,0.0,0.0,0.6225,1.0,0.0,0.0769,0.4348,0.269
,acronis true image; hwinfo; mcafee endpoint security; memtest86; microsoft windows 10; powershell; recuva; teamviewer; vmware workstation; wireshark,['University of Washington'],Bachelor of Science,Computer Science,"['Expedia Group', 'Nordstrom', 'Tableau Software']",2021; 2018; 2015,current; 2021; 2018,9.0,Computer Technician; IT Support Specialist; Help Desk Technician,"Open-Source Technologies
CI/CD Culture & Tooling
Product Availability & Scalability
Automation (Build & Deploy)
Monitoring & Reliability
Infrastructure Innovation
Software Engineering Velocity
Infrastructure Resiliency
Security & Data Availability",,DevOps Engineer,Bachelor/Honors,At least 3 years,3.0,ansible; aws cloud; cloud platform; devops; dockers and kubernetes; java; react; terraform,,True,0.0,0.0,0.9994,1.0,0.0,0.0,0.0,0.2999
I want to join a role where I can experiment and learn with new types of data and increase my ability to build more complex models in the future.,artificial intelligence; backend; c; c++; deep learning; docker; java; jenkins; kubernetes; linear regression; machine learning; python; sap; software engineering,['Jawaharlal Nehru University'],B.Tech,Civil,['Accenture'],Jan 2019,Jan 2020,1.0,Application Development Associate,"Hardware & Software Installation
System Monitoring
IT Support
Networking Expertise
Mail Server Administration
Security Management
Troubleshooting & Repair
Operations Support",,Executive/ Sr. Executive -IT,Bachelor of Science (BSc) in Computer Science & Engineering,3 to 5 years,3.0,,Age at most 40 years,False,0.0336,0.0336,0.3775,1.0,0.0,0.0,0.0134,0.2241
To utilize my customer relations and management background to obtain a position with a company that places importance on efficiency and success. Employ natural leadership and interpersonal skills to build relationships throughout the organization.,,['Strayer University'],Bachelor of Science,Accounting,"['Company Name', 'Company Name', 'Company Name', 'Company Name', 'Company Name', 'Company Name']",August 2015; June 2014; July 2015; June 2007; February 2004; June 2012,Current; August 2015; Current; February 2011; April 2007; November 2016,29.34,Accountant; Director of Finance & Accounts; Training & Operations Consultant; Franchisee; General Manager; Patient Service Representative,"Machine Learning Leadership
Cross-Functional Collaboration
Strategy Development
ML/NLP Infrastructure
Prototype Transformation
ML System Design
Algorithm Research
Application Development
Dataset Selection
ML Testing
Statistical Analysis
R&D in ML/NLP
Text Representation
Data Pipeline Design
Statistical Data Analysis
Model Training
Team Collaboration
Research Reporting
Algorithm Analysis",,Machine Learning (ML) Engineer,M.Sc in Computer Science & Engineering or in any relevant discipline from a reputed University,At least 5 year(s),5.0,,,False,0.4072,0.4072,1.0,0.5,0.0,0.0465,0.1629,0.4391
,artificial intelligence; business analytics; data analysis; data science; data structure; database management system; deep learning; java; machine learning; power bi; software development; software engineering; sql; tableau,"['HEM College, Indore']",B.Tech,,['ZoomBot'],Nov 2020,till date,3.16,Intern at Machine Learning and cognitive division,"Machine Learning Leadership
Cross-Functional Collaboration
Strategy Development
ML/NLP Infrastructure
Prototype Transformation
ML System Design
Algorithm Research
Application Development
Dataset Selection
ML Testing
Statistical Analysis
R&D in ML/NLP
Text Representation
Data Pipeline Design
Statistical Data Analysis
Model Training
Team Collaboration
Research Reporting
Algorithm Analysis",,Machine Learning (ML) Engineer,M.Sc in Computer Science & Engineering or in any relevant discipline from a reputed University,At least 5 year(s),5.0,,,False,0.6391,0.6391,0.4158,0.5,0.0,0.0571,0.2556,0.4725
,budget; database; dec; documentation; hardware; inspection; logistics; maintain documentation; meetings; microsoft excel; microsoft office; microsoft powerpoint; network; network systems; networking; operating systems; oracle; outlook; personnel; presentations; progress; quality; routers; safety; scheduling; shipping; spreadsheets; supervision,['University of Phoenix Texas'],Business Administration,Business Administration,"['Company Name', 'Company Name', 'Company Name', 'Company Name']",01/2014; 12/2012; 01/2011; 07/2004,Current; 12/2013; 12/2010,0.0,Engineering Technician; Consultant; Engineering Technician; Manufacturing Lead,"15+ Years Banking Experience
Audit/Inspection/ICC Leadership
Internal Audit & Compliance
Risk-Based Operational Reviews
System-Based Audit Expertise
Knowledge of Bangladeshi Laws",,Head of Internal Control & Compliance (ICC) - SEVP/DMD,"Masters, Master of Business Administration (MBA), Master of Business Management (MBM)",At least 15 years,15.0,audit and inspection; banking; internal audit,Age at most 52 years,True,0.25,0.3333,0.0,0.2,0.0,0.2143,0.2498,0.1949
,army; basic; bridges; inspection; inspects; marconi; multimeters; office; oscilloscopes; personnel; radar; radio; read; safety; signal generators; telephone; troubleshooting; vhf,"['University of *Strong Vincent HS', 'Intermediate Electronic Principles, Keesler AFB, MS', '*Telephone Central Office Repair', '*HAZMAT Familiarization/Safety Transport', '*Forward Area Alerting Radar Repairer']",Diploma,,"['Company Name', 'Company Name', 'Company Name']",January 2012; January 2000; January 1992,January 2013; Current; January 2000,33.0,Construction Engineering Supervisor; Combat Engineer; Combat Engineer,"Administrative Support
Scheduling
Filing & Documentation
Communication
Team Support
Equipment Maintenance
Information Provision
Inventory Management
Team Collaboration
OHS Policy Development
Safety Advice
Risk Assessment
Policy Review
OHS Training
Safety Inspections
Unsafe Act Prevention
Incident Investigation
Report Preparation",,Asst. Manager/ Manger (Administrative),Bachelor/Honors,At least 5 years,5.0,administration; health safety and environment; safety and security management,Age at least 28 years,True,0.1667,0.6667,1.0,0.5,0.0,0.0682,0.15,0.4192
"looking for an opportunity as an engineer or related position which offers key participation, team-oriented tasks, immediate challenges and career opportunities in a reputed organization which will help me deliver my best and upgrade my skills in engineering and meet the demands of the organization. To utilize my technical skills for achieving the target and developing the best performance in the organization. I would like to implement my innovative ideas, skills and creativity for accomplishing projects.",auto cad; cost reduction and avoidance; failure analysis; inspection; knowyourconsumer kyc; lean manufacturing; ms office; process control; process design; quality control; simulation; software systems engineering; statistical process control; system configuration; systems engineering; systems engineering management; tools of operations research,"['Oklahoma Christian University', 'Sastra University, Tanjore Tamil Nadu']",Master of Science; Bachelor of Technology,Engineering Management; Chemical Engineering,"['Company Name', 'Company Name']",06/2014,06/2014,0.0,Engineering Intern,"15+ Years Banking Experience
Audit/Inspection/ICC Leadership
Internal Audit & Compliance
Risk-Based Operational Reviews
System-Based Audit Expertise
Knowledge of Bangladeshi Laws",,Head of Internal Control & Compliance (ICC) - SEVP/DMD,"Masters, Master of Business Administration (MBA), Master of Business Management (MBM)",At least 15 years,15.0,audit and inspection; banking; internal audit,Age at most 52 years,True,0.25,0.3333,0.0,1.0,0.0,0.24,0.2021,0.3138
Degreed accountant with more than 10 years of diversified accounting experience seeking accounting position at a well-established company in Houston,ability of managing multi tasks; accounting software peoplesoft / quickbooks; deadlines focused; detailoriented; excellent communication and presentation skills; good analytical skills; microsoft office word / advanced ms excel skills /ms access / powerpoint / outlook; operating systems xp windows professional / windows 7/ windows 8; pdf adobe reader / adobe acrobat x; quick learner; strong management skills; tax software drake / ultra tax / turbotax; teamoriented,['University of Houston'],Bachelor's degree,Accounting,"['Company Name', 'Company Name', 'Company Name', 'Company Name']",04/2012; 10/2011; 01/2007; 12/2005,06/2014; 04/2012; 08/2011; 12/2006,0.0,Accountant; Tax Accountant; Accounting Manager; Tax Accountant,"Digital Marketing Strategy
Brand Awareness, Online Traffic
Social Media Management
Google Analytics
Cross-functional Teams
Campaign Execution, SEO",,Marketing Officer,Bachelor/Honors,At least 1 year,1.0,corporate marketing; facebook ads manager; facebook campaign; facebook marketing; google ads; google analytics; market researc; marketing; search engine optimization seo,,True,0.0,0.0,0.6225,1.0,0.0,0.1935,0.0897,0.2575
,agency; delivery; insurance; materials; policies; roofing; sales; selling,['UNIVERSITY OF MINNESOTA DULUTH'],Bachelor of Arts,Liberal Arts Environmental Studies Geography,"['Company Name', 'Company Name', 'Company Name']",07/2015; 07/2010; 07/2006,Current; 07/2015; 07/2010,0.0,Business Development Consultant; P&C Producer and Sales Agent; Sales Representative,"Mushak Forms Maintenance
VAT Software & MS Office Maintenance
VAT Ledger Management
VAT Challan Coordination
Liaison with VAT Office
VAT Documentation
Other Assigned Tasks",,Executive - VAT,BBA in Accounting and Finance,1 to 3 years,1.0,vat and tax,,True,0.0,0.0,0.6225,1.0,0.0,0.0769,0.4589,0.2702
,account reconciliation expert; accounting operations; chasepaymentech; complex problem solving; effective time management; epicor; flexible team player; general ledger accounting; glacier tax prep; intuit payroll; microsoft excel; netsuite; office master system; outlook; peachtree; quickbooks; sage; strong communication skills; strong organizational skills; word,"['Ball State University', 'Ball State University']",Master of Science; Bachelor of Science,Accounting; Business Administration,"['Company Name', 'Company Name', 'Company Name', 'Company Name']",August 2013; May 2012; August 2011; January 2010,Current; July 2013; May 2012; April 2010,12.58,Senior Accountant; Corp. Accountant; Graduate Assistant of Economic Department; Income Tax Preparer,"Machinery Maintenance
Troubleshooting
Report Preparation
Log Maintenance",,Mechanical Engineer,"Bachelor of Science (BSc) in Mechanical Engineering, Diploma in Mechanical",2 to 5 years,2.0,maintenance and troubleshooting; mechanical,Age 25 to 40 years,True,0.0,0.0,1.0,1.0,0.0,0.1053,0.041,0.3073
"Currently looking for an opportunity in Machine Learning and Deep Learning roles. I have a good depth of knowledge in ML Algorithms, various CNN architectures, and worked on Time series data, Image captioning, NLP tasks. Interested to work with an enthusiastic team on business problems.",deep learning; keras; machine learning; python; sql; tensorflow,['PPC University'],B.Tech,Chemical,['ASM Management'],Jan 2019,Oct 2019,0.75,Intern,"Application Development
Object-Oriented Design
Collaboration
Problem-Solving
Software Lifecycle
Innovation
Software Testing
System Analysis
Performance Monitoring
Plugin Development
Documentation
Integration Support",,Data Science Engineer,Bachelor of Science (BSc) in Computer Science & Engineering,At least 2 years,2.0,business analysis; effective communication skills; java; rest api design; soft skills; software development,Age 25 to 32 years,True,0.0,0.0,0.5622,1.0,0.0,0.125,0.0809,0.2446
,algorithms; analytical and logical; apple; apple lion; aspnet; budget management; business objects; c++; calculator; calm under pressure; change management; client; coach; complex problem solving; computersavvy; continuous improvement; css; customer relations; customer service; dmaic; documentation; facilities management; financial reporting; fmea; gui; html; human resource management; human resources; interpersonal skills; inventory; inventory control; inventory levels; java; java 1; java 2; java script; keynote; leadership skills; lean manufacturing; lean manufacturing and management; maintain records; managing; manufacturing process; materials; microsoft access; microsoft access 2010; microsoft office; microsoft office 20032011; microsoft project; microsoft visio; microsoft visio 20082010; motivational; netbeans; numbers; operations management; out of the box thinking; pages; personnel; pfd; policies; policy/program development; powersteering; problemsolving skills; processes; project management; purchasing; quality; rcm; reengineering; repairs; reporting; safety; sap; six sigma; six sigma certified; six sigma tools and methodologies; software engineering; software training; sound judgment; sql; sql server 2008; strong leadership skills; supervision; supervision and training; supply chain; supply chain management; tango; textpad; user support; vb.net; visual studio; visual studio 20082010; water treatment; web design 1; web design 2; websites; works,"['McFord University', 'McFord University', 'University Of Phoenix College']",B.S; M.S; B.S.I.T,Mechanical Engineering; Electrical Engineering; Software Engineering,"['Company Name', 'Company Name', 'Company Name']",July 2013; September 2012; November 1981,January 2016; July 2013; October 2011,33.25,Corporate Process/Systems Engineering Manager; SDI Site Operations Manager; Operations Group Manager,"Administrative Support
Scheduling
Filing & Documentation
Communication
Team Support
Equipment Maintenance
Information Provision
Inventory Management
Team Collaboration
OHS Policy Development
Safety Advice
Risk Assessment
Policy Review
OHS Training
Safety Inspections
Unsafe Act Prevention
Incident Investigation
Report Preparation",,Asst. Manager/ Manger (Administrative),Bachelor/Honors,At least 5 years,5.0,administration; health safety and environment; safety and security management,Age at least 28 years,True,0.3333,0.6667,1.0,0.2,0.0,0.0851,0.0976,0.4225
"Data Science Enthusiast looking roles in Data Analytics, Machine learning, Statistical Modeling, Data Visualization.",clustering analysis; data analyst; data analytics; data modeling; data validation; forecasting; machine learning; natural language processing; python; r; statistical modeling; tableau; text mining,"['GIT, Kolkata']",B.Tech,CSE,['Adept Solution'],Nov 2019,Mar 2020,0.33,Trainee Internship,"Database Design & Development
SQL Query Optimization
Data Integrity & Security
BI Solutions Development
ETL Process Implementation
Database Maintenance
Backup & Restore Management
Index Rebuilding & Performance Tuning
SQL Server Clustering & High Availability
SQL Server Replication
High Availability Group Management
Database Monitoring & Troubleshooting",,Database Administrator (DBA),Bachelor of Science (BSc) in Computer Science,At least 1 year,1.0,asp.net mvc strong understanding of database design; database administrator dba; database management; elasticsearch; mongodb; mysql database; nosql database; redis,Age 25 to 40 years,True,0.0,0.0,0.6964,1.0,0.0,0.0698,0.1681,0.2663
,autocad civil 3d; bluebeam; mathcad; microsoft excel; microsoft powerpoint; microsoft word; project,['University of Pittsburgh at Johnstown'],Bachelor of Science,Civil Engineering,"['Company Name', 'Company Name', 'Company Name']",05/2017; 05/2016; 05/2015,08/2017; 08/2016; 08/2015,0.0,Engineering Intern; Field Engineering Intern; Field Engineering Intern,"Machinery Maintenance
Troubleshooting
Report Preparation
Log Maintenance",,Mechanical Engineer,"Bachelor of Science (BSc) in Mechanical Engineering, Diploma in Mechanical",2 to 5 years,2.0,maintenance and troubleshooting; mechanical,Age 25 to 40 years,True,0.0,0.0,0.3775,0.9,0.0,0.1667,0.1074,0.2053
Data Engineer who is experienced with Text Analytics and Natural Language Processing. I have also worked on Big Data Analytics using hadoop,data extraction; data mining; data modelling; data science; data visualisation; machine learning; natural language processing; power bi; text analysis,['JIoT Belemundi'],B.Tech,,['Invictus Qualis'],Nov 2019,Till date,4.17,,"Hardware & Network Installation
Troubleshooting & Diagnostics
User Training & Capacity Building
Hardware Replacement
Fault Repair & System Setup
Software License & Account Management
Backup Management
System Updates & Maintenance
Server & Storage Management
Documentation & Technical Specifications
Data Protection & Disaster Recovery
Storage & Database Planning
Power & Disk Backup
Incident Management & Escalation
Service Restoration
User Communication & Verification
Incident Classification & Resolution
Major Incident Escalation
Problem & Error Management
Task Assignment & Execution",,"System Administrator (Operation & Maintenance of Server, Storage & Service Desk System)",Bachelor/Honors,4 to 5 years,4.0,cisco; linux; operation maintenance of server,,True,0.0,0.0,0.8416,1.0,0.0,0.0943,0.1127,0.2866
Graduating Ph.D. candidate with a research focus on developing large-scale computational models using statistics and machine learning approach. Interested in a career as a computational scientist or quantitative software developer.,air force; ansys; approach; c; cad; camera; decisionmaking; designing; enterprise; experimentation; experiments; features; fortran; instructor; lesson planning; machining; marketing; materials; matlab; mechanical design; microsoft office; modeling; nastran; optimization; os; patran; physics; predict; process control; research; research and design; robotic; solidworks; statistical process control; teaching,"['Arizona State University', 'Arizona State University']",Doctor of Philosophy; Master of Science,Mechanical Engineering; Mechanical Engineering,"['Company Name', 'Company Name', 'N/A']",01/2013; 07/2011; 01/2011,Current; 08/2011; 01/2013,0.0,Thermal Engineering Intern; Researcher,"Internal Audit Assistance
Voucher & Bill Verification
Cost Sheet Analysis
L/C Voucher Verification
Expense Verification
Salary & Wages Verification
Market Rate Verification",,Sr.Officer / Executive - Internal Audit,"Master of Commerce (MCom) in Accounting, Must have CACC certification from any CA firm",2 to 4 years,2.0,having cacc from reputed ca firm; internal audit and compliance,,True,0.0,0.0,0.3775,1.0,0.0,0.0741,0.0389,0.2123
,c; data analytics; data mining; data reporting; html; java; javascript; key aspect analysis; python; requirement gathering; root cause analysis; software development; solution engineering,"['Sikkim University', 'Sikkim University']",Bachelor of Computer Applications; Master of Computer Applications,Computers; Computers,"['Sikkim University', 'Sikkim University']",2020; 2019,2021; 2021,3.0,Instructor & Teaching Assistant; Research Assistant,"Machinery Maintenance
Troubleshooting
Report Preparation
Log Maintenance",,Mechanical Engineer,"Bachelor of Science (BSc) in Mechanical Engineering, Diploma in Mechanical",2 to 5 years,2.0,maintenance and troubleshooting; mechanical,Age 25 to 40 years,True,0.0,0.0,0.9241,1.0,0.0,0.1538,0.0718,0.2999
